becyt_level_1,becyt_level_2,purl_level_1,purl_level_2,fos_level_1,fos_level_2
https://biblioteca.mincyt.gob.ar/ford/1,https://biblioteca.mincyt.gob.ar/ford/1.1,https://purl.org/becyt/ford/1,https://purl.org/becyt/ford/1.1,1 - Ciencias naturales,1.1 Matemáticas
https://biblioteca.mincyt.gob.ar/ford/1,https://biblioteca.mincyt.gob.ar/ford/1.2,https://purl.org/becyt/ford/1,https://purl.org/becyt/ford/1.2,1 - Ciencias naturales,1.2 Ciencias de la computación e información
https://biblioteca.mincyt.gob.ar/ford/1,https://biblioteca.mincyt.gob.ar/ford/1.3,https://purl.org/becyt/ford/1,https://purl.org/becyt/ford/1.3,1 - Ciencias naturales,1.3 Ciencias físicas
https://biblioteca.mincyt.gob.ar/ford/1,https://biblioteca.mincyt.gob.ar/ford/1.4,https://purl.org/becyt/ford/1,https://purl.org/becyt/ford/1.4,1 - Ciencias naturales,1.4 Ciencias químicas
https://biblioteca.mincyt.gob.ar/ford/1,https://biblioteca.mincyt.gob.ar/ford/1.5,https://purl.org/becyt/ford/1,https://purl.org/becyt/ford/1.5,1 - Ciencias naturales,1.5 Ciencias de la tierra y ciencias ambientales relacionadas
https://biblioteca.mincyt.gob.ar/ford/1,https://biblioteca.mincyt.gob.ar/ford/1.6,https://purl.org/becyt/ford/1,https://purl.org/becyt/ford/1.6,1 - Ciencias naturales,1.6 Ciencias biológicas
https://biblioteca.mincyt.gob.ar/ford/1,https://biblioteca.mincyt.gob.ar/ford/1.7,https://purl.org/becyt/ford/1,https://purl.org/becyt/ford/1.7,1 - Ciencias naturales,1.7 Otras ciencias naturales
https://biblioteca.mincyt.gob.ar/ford/2,https://biblioteca.mincyt.gob.ar/ford/2.1,https://purl.org/becyt/ford/2,https://purl.org/becyt/ford/2.1,2 - Ingeniería y tecnología,2.1 Ingeniería civil
https://biblioteca.mincyt.gob.ar/ford/2,https://biblioteca.mincyt.gob.ar/ford/2.2,https://purl.org/becyt/ford/2,https://purl.org/becyt/ford/2.2,2 - Ingeniería y tecnología,"2.2 Ingeniería eléctrica, electrónica e informática"
https://biblioteca.mincyt.gob.ar/ford/2,https://biblioteca.mincyt.gob.ar/ford/2.3,https://purl.org/becyt/ford/2,https://purl.org/becyt/ford/2.3,2 - Ingeniería y tecnología,2.3 Ingeniería mecánica
https://biblioteca.mincyt.gob.ar/ford/2,https://biblioteca.mincyt.gob.ar/ford/2.4,https://purl.org/becyt/ford/2,https://purl.org/becyt/ford/2.4,2 - Ingeniería y tecnología,2.4 Ingeniería química
https://biblioteca.mincyt.gob.ar/ford/2,https://biblioteca.mincyt.gob.ar/ford/2.5,https://purl.org/becyt/ford/2,https://purl.org/becyt/ford/2.5,2 - Ingeniería y tecnología,2.5 Ingeniería de los materiales
https://biblioteca.mincyt.gob.ar/ford/2,https://biblioteca.mincyt.gob.ar/ford/2.6,https://purl.org/becyt/ford/2,https://purl.org/becyt/ford/2.6,2 - Ingeniería y tecnología,2.6 Ingeniería médica
https://biblioteca.mincyt.gob.ar/ford/2,https://biblioteca.mincyt.gob.ar/ford/2.7,https://purl.org/becyt/ford/2,https://purl.org/becyt/ford/2.7,2 - Ingeniería y tecnología,2.7 Ingenieria ambiental
https://biblioteca.mincyt.gob.ar/ford/2,https://biblioteca.mincyt.gob.ar/ford/2.8,https://purl.org/becyt/ford/2,https://purl.org/becyt/ford/2.8,2 - Ingeniería y tecnología,2.8 Biotecnología ambiental
