type,instance_type,label_es,coar_uri
Publication,Article,ARTÍCULO,http://purl.org/coar/resource_type/c_6501
Other,Audiovisual,,
Other,Annotation,,
Publication,Bachelor thesis,,
Dataset,Bioentity,CONJUNTO DE DATOS,
Publication,Book,,
Dataset,Collection,CONJUNTO DE DATOS,
Dataset,Clinical Trial,CONJUNTO DE DATOS,
Publication,Conference object,,
Publication,Contribution for newspaper or weekly magazine,,
Publication,Data Management Plan,,
Publication,Data Paper,,
Dataset,Dataset,CONJUNTO DE DATOS,
Publication,Doctoral thesis,,
Other,Event,,
Publication,External research report,,
Other,Film,,
Other,Image,,
Other,InteractiveResource,,
Publication,Internal report,,
Publication,Journal,,
Other,Lecture,,
Publication,Master thesis,,
Other,Model,,
Publication,Newsletter,,
Dataset,Other dataset type,CONJUNTO DE DATOS,
Publication,Other literature type,,
Other,Other ORP type,,
Software,Other software type,,
Software,Software Paper,,
Publication,Part of book or chapter of book,,
Publication,Patent,,
Other,PhysicalObject,,
Publication,Preprint,,
Publication,Presentation,,
Publication,Project deliverable,,
Publication,Project milestone,,
Publication,Project proposal,,
Dataset,Protein,CONJUNTO DE DATOS,
Other,Research Activity,,
Other,Research Object,,
Publication,Report,,
Publication,Research,,
Publication,Review,,
Other,Virtual Appliance,,
Other,Sound,,
Software,Software,,
Publication,Thesis,,
Other,UNKNOWN,,
