id_document1,id_document2,rules,similarity
10915/27609,None,None,NO_DUPLICATE
10915/27888, | 42202, GeneralRule = 0.75 | BookIsbnRule =A | DoiRule =A |--,NEAR_DUPLICATE
10915/31667, | 42187, GeneralRule = 1 | BookIsbnRule =A | DoiRule =A |--,DUPLICATE
10915/31960,None,None,NO_DUPLICATE
10915/33724, | 42204, GeneralRule = 1 | BookIsbnRule =A | DoiRule =A |--,DUPLICATE
10915/35018,None,None,NO_DUPLICATE
10915/35348, | 42070, GeneralRule = 0.75 | BookIsbnRule =A | DoiRule =A |--,NEAR_DUPLICATE
10915/35993, | 42101, GeneralRule = 1 | BookIsbnRule =A | DoiRule =A |--,DUPLICATE
10915/37286, | 42203, GeneralRule = 0.75 | BookIsbnRule =A | DoiRule =A |--,NEAR_DUPLICATE
10915/40630, | 42183, GeneralRule = 0.75 | BookIsbnRule =A | DoiRule =A |--,NEAR_DUPLICATE
10915/45101,None,None,NO_DUPLICATE
10915/45719,None,None,NO_DUPLICATE
10915/47968, | 42097, GeneralRule = 0.75 | BookIsbnRule =A | DoiRule =A |--,NEAR_DUPLICATE
10915/49067, | 42106, GeneralRule = 0.75 | BookIsbnRule =A | DoiRule =A |--,NEAR_DUPLICATE
10915/51184,None,None,NO_DUPLICATE
10915/51185,None,None,NO_DUPLICATE
10915/51186,None,None,NO_DUPLICATE
10915/52442,None,None,NO_DUPLICATE
10915/52470, | 42184, GeneralRule = 0.75 | BookIsbnRule =A | DoiRule =A |--,NEAR_DUPLICATE
10915/52638,None,None,NO_DUPLICATE
10915/52644,None,None,NO_DUPLICATE
10915/52720, | 42182, GeneralRule = 0.75 | BookIsbnRule =A | DoiRule =A |--,NEAR_DUPLICATE
10915/53285,None,None,NO_DUPLICATE
10915/53488,None,None,NO_DUPLICATE
10915/53929, | 42201, GeneralRule = 0.75 | BookIsbnRule =A | DoiRule =A |--,NEAR_DUPLICATE
10915/54483, | 42189, GeneralRule = 0.75 | BookIsbnRule =A | DoiRule =A |--,NEAR_DUPLICATE
10915/55240,None,None,NO_DUPLICATE
10915/56822,None,None,NO_DUPLICATE
10915/56825,None,None,NO_DUPLICATE
10915/56826,None,None,NO_DUPLICATE
10915/57553,None,None,NO_DUPLICATE
10915/57664, | 42206, GeneralRule = 1 | BookIsbnRule =A | DoiRule =A |--,DUPLICATE
10915/57894, | 42102, GeneralRule = 1 | BookIsbnRule =A | DoiRule =A |--,DUPLICATE
10915/57977,None,None,NO_DUPLICATE
10915/58571,None,None,NO_DUPLICATE
10915/59456, | 42185, GeneralRule = 1 | BookIsbnRule =A | DoiRule =A |--,DUPLICATE
10915/59709,None,None,NO_DUPLICATE
10915/61157,None,None,NO_DUPLICATE
10915/61430,None,None,NO_DUPLICATE
10915/62452,None,None,NO_DUPLICATE
10915/63644, | 42066, GeneralRule = 0.75 | BookIsbnRule =A | DoiRule =A |--,NEAR_DUPLICATE
10915/63997,None,None,NO_DUPLICATE
10915/64032, | 42100, GeneralRule = 1 | BookIsbnRule =A | DoiRule =A |--,DUPLICATE
10915/64154, | 42068, GeneralRule = 0.75 | BookIsbnRule =A | DoiRule =A |--,NEAR_DUPLICATE
10915/64608,None,None,NO_DUPLICATE
10915/65033, | 42069, GeneralRule = 1 | BookIsbnRule =A | DoiRule =A |--,DUPLICATE
10915/66193,None,None,NO_DUPLICATE
