id_document1,id_document2,rules,similarity
43540,None,None,NO_DUPLICATE
43525, | 10915/60487, ThesisRule = 1 | GeneralRule = 1 | DoiRule =A |--,DUPLICATE
40619, | 10915/48415, ThesisRule = 1 | GeneralRule = 0.75 | DoiRule =A |--,DUPLICATE
41809, | 10915/62590, ThesisRule = 1 | GeneralRule = 1 | DoiRule =A |--,DUPLICATE
43073,None,None,NO_DUPLICATE
43539, | 10915/79972, ThesisRule = 0.75 | GeneralRule = 1 | DoiRule =A |--,DUPLICATE
32746,None,None,NO_DUPLICATE
41751, | 10915/67834, ThesisRule = 1 | GeneralRule = 0.75 | DoiRule =A |--,DUPLICATE
43497, | 10915/171391, ThesisRule = 0.5 | DoiRule =A |--,DONT_KNOW
43530, | 10915/146615, ThesisRule = 0.5 | DoiRule =A |--,DONT_KNOW
42841, | 10915/85464 | 10915/85470, ThesisRule = 1 | GeneralRule = 1 | DoiRule =A |-- GeneralRule = 0.75 | DoiRule =A |--,DUPLICATE
43162,None,None,NO_DUPLICATE
30870,None,None,NO_DUPLICATE
32496,None,None,NO_DUPLICATE
44151,None,None,NO_DUPLICATE
44152,None,None,NO_DUPLICATE
43200, | 10915/195882, ThesisRule = 1 | GeneralRule = 1 | DoiRule =A |--,DUPLICATE
43163,None,None,NO_DUPLICATE
32862,None,None,NO_DUPLICATE
43239,None,None,NO_DUPLICATE
32600,None,None,NO_DUPLICATE
43211, | 10915/181969, ThesisRule = 0.5 | GeneralRule = 0.75 | DoiRule =A |--,NEAR_DUPLICATE
43510,None,None,NO_DUPLICATE
43500, | 10915/89502, ThesisRule = 1 | GeneralRule = 1 | DoiRule =A |--,DUPLICATE
32726,None,None,NO_DUPLICATE
42879, | 10915/103035, ThesisRule = 1 | GeneralRule = 1 | DoiRule =A |--,DUPLICATE
32512, | 10915/186610, ThesisRule = 1 | GeneralRule = 0.75 | DoiRule =A |--,DUPLICATE
42951, | 10915/121381, ThesisRule = 1 | GeneralRule = 1 | DoiRule =A |--,DUPLICATE
32602,None,None,NO_DUPLICATE
41756, | 10915/66004, ThesisRule = 1 | GeneralRule = 0.75 | DoiRule =A |--,DUPLICATE
43234,None,None,NO_DUPLICATE
32543,None,None,NO_DUPLICATE
43212,None,None,NO_DUPLICATE
32820,None,None,NO_DUPLICATE
32592,None,None,NO_DUPLICATE
32812,None,None,NO_DUPLICATE
43213,None,None,NO_DUPLICATE
32900,None,None,NO_DUPLICATE
41084, | 10915/45408, ThesisRule = 1 | GeneralRule = 0.75 | DoiRule =A |--,DUPLICATE
43189,None,None,NO_DUPLICATE
43202,None,None,NO_DUPLICATE
43158, | 10915/191611, ThesisRule = 1 | GeneralRule = 1 | DoiRule =A |--,DUPLICATE
43106,None,None,NO_DUPLICATE
43521,None,None,NO_DUPLICATE
32660,None,None,NO_DUPLICATE
32863,None,None,NO_DUPLICATE
32705,None,None,NO_DUPLICATE
32688,None,None,NO_DUPLICATE
32740,None,None,NO_DUPLICATE
43172,None,None,NO_DUPLICATE
43154, | 10915/196874, ThesisRule = 1 | GeneralRule = 0.75 | DoiRule =A |--,DUPLICATE
43184,None,None,NO_DUPLICATE
43235,None,None,NO_DUPLICATE
41913,None,None,NO_DUPLICATE
32582,None,None,NO_DUPLICATE
32919,None,None,NO_DUPLICATE
32825,None,None,NO_DUPLICATE
43223,None,None,NO_DUPLICATE
32668,None,None,NO_DUPLICATE
32720,None,None,NO_DUPLICATE
32709,None,None,NO_DUPLICATE
32715,None,None,NO_DUPLICATE
32642,None,None,NO_DUPLICATE
43103,None,None,NO_DUPLICATE
32906,None,None,NO_DUPLICATE
32665,None,None,NO_DUPLICATE
32891,None,None,NO_DUPLICATE
39231, | 10915/26425, ThesisRule = 1 | GeneralRule = 0.75 | DoiRule =A |--,DUPLICATE
28360, | 10915/43430, ThesisRule = 1 | GeneralRule = 1 | DoiRule =A |--,DUPLICATE
32708,None,None,NO_DUPLICATE
32956,None,None,NO_DUPLICATE
32691,None,None,NO_DUPLICATE
32889,None,None,NO_DUPLICATE
32907,None,None,NO_DUPLICATE
32730,None,None,NO_DUPLICATE
41753, | 10915/68075, ThesisRule = 1 | GeneralRule = 0.75 | DoiRule =A |--,DUPLICATE
32916,None,None,NO_DUPLICATE
44160,None,None,NO_DUPLICATE
44161,None,None,NO_DUPLICATE
32629,None,None,NO_DUPLICATE
32957,None,None,NO_DUPLICATE
43181,None,None,NO_DUPLICATE
43177,None,None,NO_DUPLICATE
32625,None,None,NO_DUPLICATE
32626,None,None,NO_DUPLICATE
32932,None,None,NO_DUPLICATE
32791,None,None,NO_DUPLICATE
32782,None,None,NO_DUPLICATE
43504, | 10915/68878, ThesisRule = 1 | GeneralRule = 1 | DoiRule =A |--,DUPLICATE
39970,None,None,NO_DUPLICATE
32622,None,None,NO_DUPLICATE
43545,None,None,NO_DUPLICATE
