koha_id,sedici_id,manual_decision,observations
39456,10915/39883,DUPLICATE,"Coinciden título, autor y año; SEDICI completa nombre y subtítulo."
39971,10915/43630,DUPLICATE,"Coinciden título y autor; Koha no informa fecha."
41750,10915/67993,DUPLICATE,"Coinciden título, autor y año."
41812,10915/60968,DUPLICATE,"Coinciden título completo, año, grado, director, codirector y resumen; revisar Gustavo/Sergio en el nombre."
43123,10915/181506,NO_DUPLICATE,"Falso positivo por título genérico y año: Koha informa Carlos Mathov y SEDICI Adriana Arce Alcalá."
43142,10915/196742,DUPLICATE,"Coinciden título, apellido del autor y año."
43145,10915/181506,NO_DUPLICATE,"Falso positivo por título genérico y año: Koha informa Laura Fuertes y SEDICI Adriana Arce Alcalá."
43211,10915/181969,DUPLICATE,"Coinciden título, autor y año."
43497,10915/171391,DUPLICATE,"Coinciden título y autor; SEDICI completa nombre y subtítulo."
43505,10915/87623,DUPLICATE,"Coinciden título, componentes del nombre y año."
43506,10915/74854,DUPLICATE,"Coinciden título y autor; la fecha difiere en un año."
43511,10915/68503,DUPLICATE,"Coinciden título y autor; la fecha difiere en un año."
43514,10915/185601,DUPLICATE,"Coinciden título, autor y año; SEDICI completa nombre y subtítulo."
43515,10915/67831,DUPLICATE,"Coinciden título, autor y año; hay una variación menor en singular/plural."
43519,10915/66424,DUPLICATE,"Coinciden título y autor; la fecha difiere en un año."
43529,10915/68121,DUPLICATE,"Coinciden título y autor; la fecha difiere en un año."
43530,10915/146615,DUPLICATE,"Coinciden título y autor; SEDICI conserva el subtítulo separado."
43542,10915/101547,DUPLICATE,"Coinciden título, autor y año; SEDICI completa nombre y subtítulo."
