valido a la fecha,AUTOR,AÑO,TITULO,SIGNATURA,INVENTARIO,Páginas s/f,Observaciones,Enviado al SEDICI,Devuelto por SEDICI,comentarios,preparadas para envio
7/8/2026,"Challiol, Bernardo",-1989,Ómnibus larga distancia: Memoria descriptiva,658.5(043) CHA,21137,3,2 planos,24/04/2026,,,
7/8/2026,"Chacón, Carlos Alberto",-1980,Incubadora de premanturos,658.5(043) CHAi,13307,30,,24/04/2026,,,
7/8/2026,"Chernoff, Jorge",-1988,Tablero de control inyectoras de plástico: planos,658.5(043) CHE,20773,,3 planos,24/04/2026,,,
7/8/2026,"Ciera, Jorge Omar",-1979,Máquina de coser portátil: Memoria,658.5(043) CIE,13200,7,,24/04/2026,,,
7/8/2026,"Cortés, Ricardo Pablo",-1983,Ambulancia,658.5(043) COR,19529,34,,24/04/2026,,,
7/8/2026,"Dagfal, Dardo M.",-1986,Equipamiento para Jardín de Infantes,658.5(043) DAG,20312,23,,24/04/2026,,,
7/8/2026,"Daiez, Fabián",-1987,Cubiertos,658.5(043) DAI,20763,7,5 planos,24/04/2026,,,
7/8/2026,"D'Angelo, Hugo Eduardo",(1980/1981),Cabina para camión,658.5(043) DAN,17215,22,,24/04/2026,,,
7/8/2026,"De Girolamo, Osvaldo Ángel",-1981,Transporte escolar:,658.5(043) DEG,15401,35,,24/04/2026,,,
7/8/2026,"Delucchi, Nelly Silvia",-1979,Línea de balanzas: Informe,658.5(043) DEL,16705,33,,24/04/2026,,,
7/8/2026,"Gustavino, María Mercedes Quinciana ",-1975,El arte platense: Grupos y movimientos en la plástica actual,7(043) AR7 t.3,4893,195,,24/04/2026,,Hay unos planos que no coinciden con la Tesis del vehículo,
7/8/2026,"Altamirano, Ana María",-1975,El arte platense: El nacimiento de la plástica en La Plata,7(043) ALT t.1,4892,237,,,,,si
7/8/2026,"Denda, Mercedes",-1982,Unidad funcional cocina,658.5(043) DEN,18589,33,,,,,si
7/8/2026,"Dunogent, Ricardo",-1985,Lancha sanitaria,658.5(043) DUN,20052,24,3 planos,,,,si
7/8/2026,"Durante, Carlos",-1984,Sistema de equipamiento bancario,658.5(043) DUR,19944,47,,,,,si
7/8/2026,"Edelstein, Alberto Guillermo",-1979,Equipamiento urbano,658.5(043) EDE,2206,6,,,,,si
7/8/2026,"Feo, Antonio",-1989,Ampliadora fotográfica: Memoria descriptiva,658.5(043) FEO,21052,18,8 planos,,,,si
7/8/2026,"Fernández, Pablo",-1983,Gimnasio terapéutico,658.5(043) FER,19877,76,,,,,si
7/8/2026,"Figliozzi, Mario Claudio Constante",-1978,Sistema de viviendas temporarias,658.5(043) FIG,1884,13,1 plano,,,,si
7/8/2026,"Fraga, Mariana",-1989,Sistema de cocina integral,658.5(043) FRA,21026,6,4 planos,,,,si
7/8/2026,"Fuertes, Laura",-1988,Unidad de cocina: planos,658.5(043) FUE,21144,10,4 planos,,,,si
7/8/2026,"Gadler, Silvio Víctor José",-1984,Menaje,658.5(043) GAD,19946,13,,,,,si
