id_koha,titulo_completo,autor_100a,serie,lugar,editor,fecha
42187,"Alternativas expresivas y tecnológicas en cerámica contemporanea : serigrafía y fotocerámica. Mixes procesimentales","Grassi, María Celia","Libros de Cátedra","La Plata :"," Edulp,",2013
42878,"Arte público y muralismo : Propuesta de producción para el taller complementario",,"Libros de Cátedra","La Plata :"," Edulp,",2020
39696,"Artes musicales y audiovisuales : Historias de la pretendida unidad hemisférica/",,"Libros de Cátedra","La Plata :","Edulp,",2021.
42189,"Audición musical en acción y pensamiento ",,"Libros de Cátedra","La Plata :"," Edulp,",2016
42101,"Comunicación visual : reflexión y práctica de la enseñanza","Branda, María Jorgelina","Libros de Cátedra","La Plata :"," Edulp,",2014
42782,"Comunicación Visual Urbana en La Plata : Diálogos e interacciones en la imagen urbana, reflexiones para la enseñanza","Branda, María Jorgelina","Libros de Cátedra","La Plata :"," Edulp,",2020
42776,"Creatividad en prácticas educativas : comunicación visual, juegos didácticos y derechos de la niñez en el trabajo territorial","Branda, María","Libros de Cátedra ","La Plata :"," Edulp,",2020
42183,"Diálogos : el diseño de un taller","Felipe, Mercedes","Libros de Cátedra","La Plata :"," Edulp,",2014
42206,"El cine nos enseña : reflexiones experimentadas sobre el arte de la realización audiovisual","Zanada, Jorge","Libros de Cátedra","La Plata :"," Edulp,",2016
42100,"En construcción : el trabajo de grado en el territorio","Branda, María Jorgelina","Libros de Cátedra","La Plata :"," Edulp,",2017
42957,"En plural : Producciones artísticas colectivas en la Universidad Pública",,"Libros de Cátedra","La Plata :"," Edulp,",2021
42768,"Epistemología de las artes : la dimensión epistémica desde la creatividad proyectiva y la recepción interactiva",,"Libros de Cátedra","La Plata :"," Edulp,",2019
42202,"Epistemología de las artes. La transformación el proceso artístico en el mundo contemporáneo ",,"Libros de Cátedra","La Plata :"," Edulp,",2013
42772,"Escribir guion : proceso creativo y reflexivo de construcción narrativa audiovisual","Teichmann, Rosa","Libros de Cátedra","La Plata :"," Edulp,",2018
42066,"Escribir para las artes : la producción crítica de textos en las artes visuales, audiovisuales y multimediales",,"Libros de Cátedra","La Plata :"," Edulp,",2017
42203,"Escuchar y pensar la música. Bases teóricas y metodológicas ",,"Libros de Cátedra","La Plata :"," Edulp,",2013
42098,"Evaluación en áreas proyectuales : educación y diseño en comunicación visual","Branda, María Jorgelina","Libros de Cátedra","La Plata :"," Edulp,",2018
42103,"Figuraciones de una modernidad descentrada : derivas sobre algunos temas de las artes visuales en América Latina y Europa (1850-1950)",,"Libros de Cátedra","La Plata :"," Edulp,",2018
42184,"Fundamentos estéticos : reflexiones en torno a la batalla del arte",,"Libros de Cátedra","La Plata :"," Edulp,",2016
42070,"Grabado : Lineas experimentales de producción artística académica en el Taller de Grabado Complementario",,"Libros de Cátedra","La Plata :"," Edulp,",2014
42201,"Guitarra - piano : herramientas para el estudio y la interpretación musical","Polemann, Alejandro","Libros de Cátedra","La Plata :"," Edulp,",2016
42764,"Historia del arte y la música medieval  : nuevas perspectivas y enfoques",,"Libros de Cátedra","La Plata :"," Edulp,",2019
42771,"Historiografías del arte : debates y perspectivas teóricas",,"Libros de Cátedra","La Plata :"," Edulp,",2019
42933,"Investigación en Diseño en Comunicación Visual : Un aporte para la reflexión sobre la teoría, las prácticas y los productos de Diseño","Perri, Valentina","Libros de Cátedra","La Plata :"," Edulp,",2021
42068,"Investigar en arte ",,"Libros de Cátedra","La Plata :"," Edulp,",2017
42097,"La historia del diseño industrial reconsiderada ",,"Libros de Cátedra","La Plata :"," Edulp,",2015
42069,"Materialidad : una aproximación desde la práctica del taller","Barbeito Andrés, Leticia","Libros de Cátedra","La Plata :"," Edulp,",2017
42185,"Poética del fuego : estrategias de ideación y producción en las artes del fuego contemporáneas","Grassi, María Celia","Libros de Cátedra","La Plata :"," Edulp,",2016
42773,"Prácticas artísticas contemporáneas : ámbitos de circulación, prácticas locales y modos de hacer interactivos",,"Libros de Cátedra","La Plata :"," Edulp,",2019
42188,"Producción instrumental : La enseñanza del piano y la guitarra en el Bachillerato de Bellas Artes",,"Libros de Cátedra ","La Plata :"," Edulp,",2017
42182,"Puertas de barro y fuego : caminos formativos en la cátedra Taller Cerámica Complementaria FBA-UNLP","Dillon, Verónica","Libros de Cátedra","La Plata :"," Edulp,",2016
42205,"Realización en artes visuales : forma, concepto y política",,"Libros de Cátedra","La Plata :"," Edulp,",2016
42106,"Revoluciones, apropiaciones y críticas a la modernidad : itinerarios del arte moderno entre América Latina y Europa (1830-1945)",,"Libros de Cátedra","La Plata :"," Edulp,",2015
42071,"Señal de ajuste : el color como experiencia de conocimiento",,"Libros de Cátedra ","La Plata :"," Edulp,",2017
42102,"Teoría de la práctica artística : fundamentos para una mirada situada del campo estético y cultural","Caballero, Mónica","Libros de Cátedra","La Plata :"," Edulp,",2016
42204,"Un barroco posible : claves para la interpretación musical","Siminovich, Sergio","Libros de Cátedra","La Plata :"," Edulp,",2013
