id_koha,titulo,autor,anio_publicacion,tipo_tesis,institucion,anio_titulo
43540,"¿Dónde está la obra? :","Buchara, Marina Jorgelina",,"Licenciatura en Artes Plásticas (orientación Grabado y Arte Impreso).","Universidad Nacional de La Plata. Facultad de Bellas Artes",[s.f.]
43525,"¿El que compone no baila?  :","Mansilla Pons, Ramiro",,"Magister en Estética y Teorías de las Artes.","Universidad Nacional de La Plata. Facultad de Bellas Artes",2017
40619,"¿Farafarachín!... o el arte de los cabezazos :","Chacón Solís, Liliana Alicia",,,,
41809,"¿Qué nos muestra la televisión latinoamericana de la música popular de nuestra América? :","Cánnova, María Paula",,"Doctorado en Artes.","Universidad Nacional de La Plata. Facultad de Bellas Artes",2017
43073,"""Mas grave que antes"" para conjunto instrumental de 15 ejecutantes","Rivas, Emilio",,"Licenciatura en Música (orientación en Composición).","Universidad Nacional de La Plata. Facultad de Bellas Artes",[s.f]
43539,"""Sabe la Tierra""","Ibarra, Fernando",,"Tesis colectiva. Licenciatura en Comunicación Audiovisual (orientación en Realización de cine, tv y video) Plan 2003.","Universidad Nacional de La Plata. Facultad de Bellas Artes",2019
32746,"A Electra le sienta el luto","De Santo, Edgar",,,,
41751,"Acerca de lo narrado en la performance :","Tanco, Matías Germán",,,,
43497,"Acercamiento a los modos de producción vocal en el canto de músicas populares :","Machuca Tellez, Daniel",,"Tesis de Especialización en Lenguajes Artísticos.","Universidad Nacional de La Plata. Facultad de Artes",2022
43530,"Adxé/Gadxé. Construir una identidad de género y no morir en el intento :","Anell, María Isabela",,"Tesis de Licenciatura en Historia del Arte (Orientación Artes Visuales).","Universidad Nacional de La Plata. Facultad de Artes",2022
42841,"Agua sobre fuego y fuego bajo tierra :","Albuja Estévez, Ronny Fernando",,"Licenciatura en Artes Audiovisuales (orientación Dirección de Fotografía).","Universidad Nacional de La Plata. Facultad de Artes",2019
43162,"Agujereadora radial","Bollini, Horacio R",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1978
30870,"Al rescate de una expresión gráfica popular :","Nadal, Patricio",,,,
32496,"Alejandro Xul Solar","García Romero, Jorge O",,,,
44151,"Algunas recurrencias mitográficas en el arte precolombino","Candi, Néstor Rodolfo",,,,
