title,id,author,date,doi,type
annual (2024) taxonomic update of rna-directed rna polymerase-encoding negative-sense rna viruses (realm riboviria: kingdom orthornavirae: phylum negarnaviricota),40512168,"['kuhn jh, adkins s, alkhovsky sv, an w, avsic-zupanc t, ayllon ma, bacnik k, bahl j, balkema-buschmann a, ballinger mj, beer m, bejerman n, bergeron e, biedenkopf n, blair cd, blasdell kr, bradfute sb, briese t, brown k, brown pa, buchholz uj, buchmeier mj, bukreyev a, burt f, calisher ch, calvelage s, cao m, casas i, chabi-jesus c, chandran k, charrel rn, crane a, cuypers ln, bo ed, torre jc, souza wm, swart rl, debat hj, dheilly nm, di paola n, di serio f, dietzgen rg, digiaro m, drexler jf, duprex wp, durrwald r, easton aj, elbeaino t, ergunay k, eshak miy, feng g, firth ae, fooks ar, formenty pbh, freitas-astua j, freuling cm, gadd t, gago-zachert s, garcia ml, garcia-sastre a, garrison ar, goldberg tl, gonzalez jj, gouy bellocq j, griffiths a, groschup mh, gryseels s, gutierrez-aguirre i, gunther s, hammond j, hepojoki j, horie m, hume aj, hyndman th, hoper d, jiang d, junglen s, klempa b, klingstrom j, kondo h, koonin ev, krupovic m, kubota k, kurath g, kutnjak d, laenen l, lambert aj, lee b, li c, li j, li jm, lukashevich is, maes p, marklewitz m, marshall sh, marzano sl, mccauley jw, mehle n, mirazimi a, morikawa t, et al.']",2025,10.1099/jgv.0.002077,TypeEnum.ARTICLE
global incidence of pertussis after the covid-19 pandemic,41324955,"['gorringe a, cavell b, beard f, tsukada k, otsuka n, fu p, moosa f, fabianova k, rodrigues c, bouchez v, toubiana j, brisse s, dalby t, he q, campbell h, hozbor d, hariri s, pawloski l, scanlon k, edwards k.']",2025,10.1001/jamanetworkopen.2025.45963,TypeEnum.ARTICLE
1206 genomes reveal origin and movement of aedes aegypti driving increased dengue risk,40966355,"['crawford je, balcazar d, redmond s, rose nh, youd ha, lucas er, ali rsm, alnazawi a, badolo a, chen ch, cosme lv, henke ja, hung ky, kluh s, liu wl, maringer k, martins a, micieli mv, pless e, sombie a, surendran sn, wahid i, armbruster pa, weetman d, mcbride cs, gloria-soria a, powell jr, white bj.']",2025,10.1126/science.ads3732,TypeEnum.ARTICLE
copper overload worsens the inflammatory response of microglia to amyloid beta (ab) by impairing phagocytosis and promoting mitochondrial dna-mediated nlrp3 inflammasome activation,40992081,"['zubillaga m, abadin x, ivars e, puigros m, trullas r, bellini mj, arnal n, colell a.']",2025,10.1016/j.redox.2025.103872,TypeEnum.ARTICLE
survival outcomes and impact of targeted pah therapy in portopulmonary hypertension in the pvri godeep meta-registry,40636151,"['jose a, yogeswaran a, fuenderich m, kiely d, sweatt aj, zamanian rt, hassoun pm, mouawad a, balasubramanian a, wilkins m, lawrie a, howard l, sahay s, olschewski h, kovacs g, saleh k, sabbour h, eichstaedt ca, grunig e, giannakoulas g, arvanitaki a, sirenko y, torbas o, cajigas h, frantz r, scelsi l, ghio s, majeed rw, wilhelm j, ghofrani ha, grimminger f, tello k, elwing j, seeger w; pvri-godeep-consortium.']",2025,10.1002/pul2.70121,TypeEnum.ARTICLE
interplay of virulence factors and signaling molecules: albumin and calcium-mediated biofilm regulation in bordetella bronchiseptica,40135913,"['mugni sl, ambrosis n, o toole ga, sisti f, fernandez j.']",2025,10.1128/jb.00445-24,TypeEnum.ARTICLE
country-specific data and priorities for pertussis in latin america: recent findings from the global pertussis initiative,40365078,"['ulloa-gutierrez r, hozbor d, avila-aguero ml, echaniz-aviles g, gentile a, torres torretti jp, heininger u, muloiwa r, wirsing von konig ch, forsyth k, tan tq.']",2025,10.1093/ofid/ofaf154,TypeEnum.ARTICLE
highlights of the 14th international bordetella symposium,40377335,"['munoz navarrete k, edwards km, mills khg, kamanova j, rodriguez me, gorringe a, preston a, kampmann b, gestal mc, harvill et, dubey p, diavatopoulos da, mattoo s, scanlon km, locht c, sebo p.']",2025,10.1128/msphere.00189-25,TypeEnum.ARTICLE
white matter volume and microstructural integrity are associated with fatigue in relapsing multiple sclerosis,40355645,"['figueroa-vargas a, navarrete-caro s, carcamo c, ciampi e, vasquez-torres m, soler b, montalba c, iriarte-carter m, martinez-molina mp, carvajal-paredes p, ayala-ochoa m, marquez-rodriguez v, figueroa-taiba p, diaz-diaz m, herrero j, henriquez-ch r, stecher x, manterola c, zamorano f, guevara p, aboitiz f, billeke p.']",2025,10.1038/s41598-025-01465-6,TypeEnum.ARTICLE
nkcc1 inhibition improves sleep quality and eeg information content in a down syndrome mouse model,40224007,"['bolla m, colombo g, falappa m, pace m, baravalle r, martinez n, montani f, tucci v, cancedda l.']",2025,10.1016/j.isci.2025.112220,TypeEnum.ARTICLE
