Repositorio,Version,Cantidad total,Cantidad GS,Porcentaje,Observaciones,SSR,GS desde que empezamos a ver
https://repositorio.uniandes.edu.co/home,7.6,41.999,43.300,"103,0976928","¿TODO INDEXADO?
Titulo, autores, resumen y PDF - Entidades",NO,Gano
https://repositorio.ucs.br/browse/dateissued,8.3,9.401,8.610,"91,58600149","¿TODO INDEXADO?
Titulo, autores, resumen y PDF",SI,Perdio
https://repositorio.unal.edu.co/home,7.6.5,37.184,33.100,"89,01678141",BUEN PORCENTAJE,SI,Gano
https://ruj.uj.edu.pl/home,2023.01.01-SNAPSHOT,322.607,227.000,"70,36425124",CRIS,Si pero entidad,Gano
https://repositorio.furg.br/,8.0,12.603,8.410,"66,73014362",Tiene cosas indexadas de 1/2026,SI,Gano mas de lo que subio
alexandria.unisg.ch,7.6.2,65.951,39.700,"60,19620627",CRIS,NO,Gano poco
https://www.kerwa.ucr.ac.cr/search?spc.page=1,8.1,48.815,29.100,"59,61282393",,SI,Perdio
diposit.ub.edu,7.6.3,99.162,52.900,"53,34704826",,SI,Gano
dr.ntu.edu.sg,7.6.3,153.063,79.900,"52,2007278",entidades,NO,Gano
repositories.lib.utexas.edu,DSpace 8.4-SNAPSHOT,119.088,62.100,"52,14631197",,SI,Gano
infoscience.epfl.ch,7.6.2,193.940,64.700,"33,36083325",entidadaes,NO,Gano
https://publica.fraunhofer.de,7.6.1,444.910,129.000,"28,99462813",CRIS,Si pero entidad,Gano
https://boris-portal.unibe.ch,7.6.1,211.932,56.100,"26,47075477",en general tienen indexados los pdf pero los items estan en otro lado ANUBIS ENTIDADES,Si pero entidad,Gano
researchrepository.ucd.ie,7.6.1,30.738,7.690,"25,01789316",CRIS,NO,Gano
scholarbank.nus.edu.sg,7.6,227.120,46.000,"20,25361043",CRIS,Si pero entidad,Gano
https://repository.javeriana.edu.co/home,7.6.1,52.748,9.590,"18,18078411",,NO,Perdio items
dash.harvard.edu,8.0,99.139,11.500,"11,59987492",,,Gano
https://tore.tuhh.de/,7.6.1,53.418,5.640,"10,5582388",CRIS,SI pero entidad,Gano
https://repositorio.tec.mx/home,8.0,86.038,0,0,,SI,Perdio todo
https://repository.urosario.edu.co,7.4,40.609,0,0,NADA INDEXADO (11/5/2026 tiene cosas indexadas),Si,Perdio todo
https://repositorio.udesc.br/home,8.0,24.918,0,0,NADA INDEXADO - entidades,NO,
https://repositorioinstitucional.ucm.cl/,8.1,3.832,0,0,NADA INDEXADO,NO,
https://repositorio.uflo.edu.ar/home,7.6.1,3.086,0,0,NADA INDEXADO,Si pero entidad,
spiral.imperial.ac.uk,7.6.1,119.958,0,0,Los items si estan inedxados en GS pero por otros sitios,No me devuelve nada?,
theses-dissertations.princeton.edu,7.6.1,1.282,0,0,Nuevito con CRIS,NO,
repository.kulib.kyoto-u.ac.jp,7.6,263.080,0,0,NADA INDEXADO,NO,
