dependency_domain,dependency_domain_label,dependency_name,faculty_name
unlp.edu.ar,unlp,Universidad Nacional de La Plata,Universidad Nacional de La Plata
fcnym.unlp.edu.ar,fcnym,Facultad de Ciencias Naturales y Museo,Facultad de Ciencias Naturales y Museo
fahce.unlp.edu.ar,fahce,Facultad de Humanidades y Ciencias de la Educacion,Facultad de Humanidades y Ciencias de la Educacion
fba.unlp.edu.ar,fba,Facultad de Artes,Facultad de Artes
ing.unlp.edu.ar,ing,Facultad de Ingenieria,Facultad de Ingenieria
quimica.unlp.edu.ar,quimica,Departamento de Quimica,Facultad de Ciencias Exactas
med.unlp.edu.ar,med,Facultad de Ciencias Medicas,Facultad de Ciencias Medicas
perio.unlp.edu.ar,perio,Facultad de Periodismo y Comunicacion Social,Facultad de Periodismo y Comunicacion Social
biol.unlp.edu.ar,biol,Departamento de Ciencias Biologicas,Facultad de Ciencias Exactas
psico.unlp.edu.ar,psico,Facultad de Psicologia,Facultad de Psicologia
econo.unlp.edu.ar,econo,Facultad de Ciencias Economicas,Facultad de Ciencias Economicas
agro.unlp.edu.ar,agro,Facultad de Ciencias Agrarias y Forestales,Facultad de Ciencias Agrarias y Forestales
fcv.unlp.edu.ar,fcv,Facultad de Ciencias Veterinarias,Facultad de Ciencias Veterinarias
fcaglp.unlp.edu.ar,fcaglp,Facultad de Ciencias Agrarias y Forestales,Facultad de Ciencias Agrarias y Forestales
jursoc.unlp.edu.ar,jursoc,Facultad de Ciencias Juridicas y Sociales,Facultad de Ciencias Juridicas y Sociales
fau.unlp.edu.ar,fau,Facultad de Arquitectura y Urbanismo,Facultad de Arquitectura y Urbanismo
info.unlp.edu.ar,info,Facultad de Informatica,Facultad de Informatica
fisica.unlp.edu.ar,fisica,Departamento de Fisica,Facultad de Ciencias Exactas
folp.unlp.edu.ar,folp,Facultad de Odontologia,Facultad de Odontologia
inifta.unlp.edu.ar,inifta,INIFTA,Facultad de Ciencias Exactas
trabajosocial.unlp.edu.ar,trabajosocial,Facultad de Trabajo Social,Facultad de Trabajo Social
cepave.unlp.edu.ar,cepave,CEPAVE,Facultad de Ciencias Naturales y Museo
presi.unlp.edu.ar,presi,Presidencia UNLP,Universidad Nacional de La Plata
exactas.unlp.edu.ar,exactas,Facultad de Ciencias Exactas,Facultad de Ciencias Exactas
ilpla.unlp.edu.ar,ilpla,ILPLA,Facultad de Ciencias Naturales y Museo
mate.unlp.edu.ar,mate,Departamento de Matematica,Facultad de Ciencias Exactas
bba.unlp.edu.ar,bba,Bachillerato de Bellas Artes,Universidad Nacional de La Plata
museo.unlp.edu.ar,museo,Museo de La Plata,Facultad de Ciencias Naturales y Museo
ciop.unlp.edu.ar,ciop,CIOp,Facultad de Ciencias Exactas
cetmic.unlp.edu.ar,cetmic,CETMIC,Facultad de Ciencias Exactas
nacio.unlp.edu.ar,nacio,Colegio Nacional Rafael Hernandez,Universidad Nacional de La Plata
lvm.unlp.edu.ar,lvm,Liceo Victor Mercante,Universidad Nacional de La Plata
graduada.unlp.edu.ar,graduada,Escuela Graduada Joaquin V. Gonzalez,Universidad Nacional de La Plata
cespi.unlp.edu.ar,cespi,CeSPI,Universidad Nacional de La Plata
iflysib.unlp.edu.ar,iflysib,IFLySiB,Facultad de Ciencias Exactas
inremi.unlp.edu.ar,inremi,INREMI,Facultad de Ciencias Naturales y Museo
isis.unlp.edu.ar,isis,ISIS,Universidad Nacional de La Plata
linti.unlp.edu.ar,linti,LINTI,Facultad de Informatica
sedici.unlp.edu.ar,sedici,SEDICI,Universidad Nacional de La Plata
iflp.unlp.edu.ar,iflp,Instituto de Fisica La Plata,Facultad de Ciencias Exactas
iar.unlp.edu.ar,iar,Instituto Argentino de Radioastronomia,Universidad Nacional de La Plata
biblio.unlp.edu.ar,biblio,Biblioteca Publica,Universidad Nacional de La Plata
iri.unlp.edu.ar,iri,Instituto de Relaciones Internacionales,Facultad de Ciencias Juridicas y Sociales
prebi.unlp.edu.ar,prebi,PREBI-SEDICI,Universidad Nacional de La Plata
derechoshumanos.unlp.edu.ar,derechoshumanos,Instituto de Derechos Humanos,Universidad Nacional de La Plata
dgd.unlp.edu.ar,dgd,DGD,Universidad Nacional de La Plata
eurhes.unlp.edu.ar,eurhes,Escuela Universitaria de Recursos Humanos del Equipo de Salud,Facultad de Ciencias Medicas
inchausti.unlp.edu.ar,inchausti,Escuela Inchausti,Universidad Nacional de La Plata
